address,symbol,ath_source,stored_ath_mcap,fee_peak_mcap,undershoot,n_ticks,alert_time
Gddas2JVfZ3YXjWoNmDtFJGBvtM4EqCLbL4hFjPMpump,MTGA,birdeye_running_max,141300.00,142982.15,0.0118,398,1777832038.9956465
3k3fwhfu8DodUas4WAmGxaw3zX6efpF9VEyv7CV4pump,PETAWATTS,birdeye_running_max,68880.00,31348.89,-1.1972,124,1777835198.5123446
5sX4EC4nYZeBZSPZdSd3XZPr6ntYNKUswD3Yyo7zpump,MTGH,birdeye_reseeded,51671.50,5571.54,-8.2742,87,1777835199.4876623
9eMc3sDiZpCPB273ekMubTKfxc5bFeqk8725gtVgpump,fomo,birdeye_running_max,64930.00,32376.08,-1.0055,55,1777835674.852114
4XEL1A2MZkW3qogn9JCFXmvn3a9WKnccmKozZs3Cpump,Lil Bit,birdeye_running_max,69770.00,24079.85,-1.8974,204,1777838511.3814864
4pzuXZwn4N2oGzrjnTv57FkD31eSqwnhx4w96uH1pump,dood,birdeye_running_max,253700.00,98215.47,-1.5831,464,1777840097.8955555
AUuvjZdnDPe7bt6RDixEW69y92LiyMQZp5RxRb8hpump,newt,birdeye_reseeded,65000.73,28984.99,-1.2426,547,1777842706.8134046
xeyk1xdpFf4vPtcrq64E7tNrQ5QX8Q6heXazp4Xpump,SPIRIT2.0,birdeye_running_max,376000.00,129271.53,-1.9086,3686,1777843726.3105433
7qbSRkHEKXioezZQZQQBdAU7Z6WJnHTDQSAEyDYpump,SueaAuan,birdeye_running_max,440300.00,323502.48,-0.3610,2469,1777845146.1738055
73edX6xoGY4v5y2hzuKdrUbJXLntqgmo74au1Ki1pump,Staccana,birdeye_running_max,471000.00,145891.13,-2.2284,7494,1777848741.8594406
4Up47iR6EumW7pYLPKzcR1VZXNy7hRHYEAu1tZHjpump,Kiwi,birdeye_reseeded,79274.39,81377.28,0.0258,7974,1777849450.284689
7tE3yqEiuDK1V9MTFRPNtNXwh3r7bzDvitxNbCYhpump,M,birdeye,73480.00,86502.65,0.1505,737,1777850905.4445772
2auyF5SyQe1snRUh1z3MxHWpuUkR3shmWijPmJmhpump,TEAL,birdeye_running_max,152400.00,114571.75,-0.3302,5071,1777851316.0814295
